INSTITUTE	SITE_ID	SITE_NAME	WILDCARD_ID	INVENTORY_TYPE	INVENTORY_YEAR	NO_PLOTS	CIRCLE_NO	CIRCLE_RADIUS	CIRCLE_AZIMUTH	CIRCLE_DISTANCE	POM_MARK	STANDING_ALIVE_THRESHOLD	STANDING_DEAD_THRESHOLD	LYING_ALIVE_THRESHOLD	LYING_DEAD_THRESHOLD	SPECIES_POOL	LIS_CWD	BOUNDARY	STEM_COORD_REF_POINT	EPSG_CODE	OTHER	FOREST_TYPE	YEAR_ABANDONMENT	SOIL_CLASS
NW-FVA	03-012	Grosser Freeden	\N	LPI	1971	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-012	Grosser Freeden	\N	LPI	1982	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-012	Grosser Freeden	\N	LPI	2004	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-012	Grosser Freeden	\N	LPI	2020	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-014	Huenstollen	\N	LPI	1970	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-014	Huenstollen	\N	LPI	1980	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-014	Huenstollen	\N	LPI	2004	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-014	Huenstollen	\N	LPI	2020	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-017	Grosser Staufenberg	\N	LPI	1971	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-017	Grosser Staufenberg	\N	LPI	1999	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-017	Grosser Staufenberg	\N	LPI	2014	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-017	Grosser Staufenberg	\N	LPI	2021	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-019	Stoeberhai	\N	LPI	1970	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
NW-FVA	03-019	Stoeberhai	\N	LPI	1990	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	\N	\N
