SITE_ID	INSTITUTE	SITE_NAME	WILDCARD_ID	INVENTORY_TYPE	INVENTORY_YEAR	NO_PLOTS	CIRCLE_NO	CIRCLE_RADIUS	CIRCLE_AZIMUTH	CIRCLE_DISTANCE	POM_MARK	STANDING_ALIVE_THRESHOLD	STANDING_DEAD_THRESHOLD	LYING_ALIVE_THRESHOLD	LYING_DEAD_THRESHOLD	SPECIES_POOL	LIS_CWD	BOUNDARY	STEM_COORD_REF_POINT	EPSG_CODE	OTHER	FOREST_TYPE	YEAR_ABANDONMENT	SOIL_CLASS	HIS	GEOM
06-010	NW-FVA	Waldgebiet oestlich Oppershofen	\N	SPI	2015	19	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-011	NW-FVA	Hegbach	\N	SPI	1988	6	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-011	NW-FVA	Hegbach	\N	SPI	1988	20	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-011	NW-FVA	Hegbach	\N	SPI	2019	6	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-011	NW-FVA	Hegbach	\N	SPI	2019	20	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-013	NW-FVA	Kreuzberg	\N	SPI	1990	14	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-013	NW-FVA	Kreuzberg	\N	SPI	1990	34	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-013	NW-FVA	Kreuzberg	\N	SPI	2010	14	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-013	NW-FVA	Kreuzberg	\N	SPI	2010	34	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-014	NW-FVA	Kniebrecht	\N	SPI	1993	3	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	N	\N
06-014	NW-FVA	Kniebrecht	\N	SPI	1993	1	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	N	\N
06-014	NW-FVA	Kniebrecht	\N	SPI	1993	25	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	N	\N
06-014	NW-FVA	Kniebrecht	\N	SPI	2018	3	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	N	\N
06-014	NW-FVA	Kniebrecht	\N	SPI	2018	23	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	N	\N
06-015	NW-FVA	Schlossberg	\N	SPI	1989	13	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-015	NW-FVA	Schlossberg	\N	SPI	2018	13	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-016	NW-FVA	Zellhaeuser Duene	\N	SPI	1991	19	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-016	NW-FVA	Zellhaeuser Duene	\N	SPI	2015	19	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-017	NW-FVA	Zackenbruch	\N	SPI	1995	18	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1991	/N	N	\N
06-017	NW-FVA	Zackenbruch	\N	SPI	2015	18	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1991	/N	N	\N
06-020	NW-FVA	Karlswoerth	\N	SPI	1992	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-020	NW-FVA	Karlswoerth	\N	SPI	1992	44	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-020	NW-FVA	Karlswoerth	\N	SPI	2010	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-020	NW-FVA	Karlswoerth	\N	SPI	2010	44	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	N	\N
06-023	NW-FVA	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	1992	6	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-023	NW-FVA	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	1992	45	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-023	NW-FVA	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	2016	6	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-023	NW-FVA	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	2016	45	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-024	NW-FVA	Eichberg	\N	SPI	1996	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1990	/N	N	\N
